date,Pune APMC,Lasalgaon,Nashik,Mumbai Market,Nagpur,Kolhapur,Pimpri-Chinchwad,Sambhajinagar,Solapur
2025-06-01,42.52,41.67,34.57,45.72,32.23,41.53,21.95,29.11,18.35
2025-06-02,41.77,40.72,34.87,43.88,30.69,42.87,23.44,29.49,20.82
2025-06-03,44.29,42.25,32.53,45.29,29.96,40.56,23.68,29.83,23.75
2025-06-04,41.87,41.8,32.53,47.79,30.72,40.29,21.64,28.29,25.42
2025-06-05,39.34,40.04,32.38,47.29,32.18,37.62,21.97,31.12,23.76
2025-06-06,42.01,40.09,32.73,45.83,33.19,36.33,23.1,28.47,21.79
2025-06-07,39.33,42.35,33.71,47.24,33.76,35.12,23.21,28.61,23.17
2025-06-08,41.66,41.06,34.22,50.23,34.09,35.75,24.99,27.37,23.71
2025-06-09,38.85,41.33,36.24,47.99,33.13,36.18,26.51,25.8,22.13
2025-06-10,36.1,39.51,35.43,46.62,34.53,39.14,28.63,25.32,25.06
2025-06-11,37.84,39.12,34.14,46.81,34.47,36.24,25.64,25.69,26.6
2025-06-12,39.43,39.45,31.76,47.85,32.55,33.3,26.07,25.39,29.36
2025-06-13,41.55,38.14,29.97,48.08,30.14,35.95,28.33,24.3,28.07
2025-06-14,43.39,37.74,28.75,49.81,30.54,36.81,28.47,22.95,26.81
2025-06-15,44.24,37.04,30.32,49.71,31.53,37.14,28.91,20.24,25.84
2025-06-16,44.32,38.35,30.52,48.76,30.94,36.4,28.41,21.8,28.02
2025-06-17,42.23,39.76,31.64,47.79,28.4,34.36,27.42,22.35,30.01
2025-06-18,43.88,38.56,31.34,45.4,30.68,31.83,25.67,20.92,30.12
2025-06-19,43.72,41.16,30.35,42.78,28.38,30.57,22.86,20.61,27.6
2025-06-20,45.61,40.69,32.95,42.86,25.55,29.72,25.22,17.71,25.18
2025-06-21,42.89,40.92,31.0,45.27,27.58,31.11,24.87,20.12,24.09
2025-06-22,42.41,39.48,32.44,43.98,25.28,31.32,27.41,21.9,24.88
2025-06-23,40.94,39.83,35.32,44.79,22.59,32.07,26.81,21.89,25.39
2025-06-24,42.78,40.96,33.26,45.32,22.65,34.84,29.0,20.68,27.05
2025-06-25,41.43,42.43,32.67,47.8,23.42,37.5,29.87,17.74,29.1
2025-06-26,41.25,39.86,35.41,50.2,24.91,40.36,28.43,20.02,31.71
