date,Pune APMC,Lasalgaon,Nashik,Mumbai Market,Nagpur,Kolhapur,Pimpri-Chinchwad,Sambhajinagar,Solapur
2025-06-01,28.46,28.99,55.31,26.14,42.57,15.57,18.84,46.23,45.63
2025-06-02,26.78,30.55,53.86,28.92,42.42,17.59,21.44,48.15,46.77
2025-06-03,26.42,32.17,53.83,30.36,42.87,18.27,22.14,50.1,48.58
2025-06-04,28.68,34.09,52.53,32.1,42.36,17.65,20.71,51.86,48.97
2025-06-05,26.73,33.06,51.06,34.41,40.14,14.99,20.89,53.32,51.47
2025-06-06,26.55,30.76,52.83,35.05,41.18,16.52,21.94,55.21,50.04
2025-06-07,27.73,31.85,50.07,37.98,38.97,16.57,21.95,56.75,48.28
2025-06-08,29.53,31.88,50.98,36.52,40.21,17.79,22.72,56.68,48.36
2025-06-09,31.01,33.02,51.47,39.51,40.12,17.77,22.32,57.58,47.31
2025-06-10,29.2,32.59,51.02,37.84,40.26,15.64,20.62,59.0,45.32
2025-06-11,26.5,33.63,50.74,38.76,37.9,14.58,21.98,57.58,43.02
2025-06-12,28.26,32.71,50.54,39.49,40.1,16.65,21.51,55.29,40.13
2025-06-13,26.46,32.6,47.59,42.0,37.89,16.17,18.9,54.03,41.26
2025-06-14,28.74,34.04,48.55,41.46,36.16,15.81,19.85,56.41,39.27
2025-06-15,28.75,33.9,48.71,42.75,35.27,13.15,19.05,53.98,39.17
2025-06-16,26.55,31.56,45.93,40.1,35.58,14.74,16.96,55.49,41.2
2025-06-17,29.08,34.14,46.85,42.31,33.42,16.79,14.92,53.65,39.41
2025-06-18,29.28,33.77,48.28,41.4,32.11,17.66,14.48,51.77,42.38
2025-06-19,28.37,31.55,49.87,39.72,31.22,16.09,11.67,53.17,41.32
2025-06-20,31.17,28.71,48.4,39.02,31.66,15.84,10.05,56.05,39.24
2025-06-21,29.41,28.81,45.79,37.88,32.84,14.97,11.77,55.84,37.88
2025-06-22,28.25,27.9,43.43,39.49,35.31,13.37,11.95,57.43,35.59
2025-06-23,28.48,28.46,44.8,39.85,33.86,10.46,14.02,56.74,32.87
2025-06-24,27.45,26.13,43.81,37.62,34.76,11.65,16.78,55.29,34.62
2025-06-25,29.1,23.43,44.23,38.82,37.13,13.32,18.55,52.95,31.91
2025-06-26,26.65,23.93,46.24,39.0,40.1,13.8,20.89,51.05,31.36
