date,Pune APMC,Lasalgaon,Nashik,Mumbai Market,Nagpur,Kolhapur,Pimpri-Chinchwad,Sambhajinagar,Solapur
2025-06-01,38.82,29.68,24.05,31.81,27.71,32.8,44.08,19.05,41.47
2025-06-02,37.89,28.14,25.07,29.33,25.43,34.46,45.21,20.61,42.74
2025-06-03,36.32,25.38,23.0,27.34,27.2,34.96,47.24,19.88,43.86
2025-06-04,33.65,28.33,24.52,26.93,26.56,34.85,46.74,21.31,42.6
2025-06-05,34.64,26.37,23.53,27.2,28.04,34.42,48.24,19.37,45.17
2025-06-06,34.52,28.99,24.16,26.52,30.84,32.6,50.16,17.43,46.46
2025-06-07,32.28,29.12,22.75,28.3,31.36,31.99,50.78,19.07,43.79
2025-06-08,31.35,29.18,23.42,27.96,31.43,30.39,47.98,20.1,41.41
2025-06-09,32.33,30.12,25.69,28.91,33.74,29.24,48.29,18.9,40.14
2025-06-10,35.21,30.19,24.12,25.93,34.3,30.73,50.43,20.5,40.53
2025-06-11,38.07,30.65,25.9,27.5,32.29,31.91,48.06,18.83,38.17
2025-06-12,36.23,28.88,26.75,30.26,32.21,30.04,46.87,16.78,40.84
2025-06-13,33.27,27.21,26.7,28.59,35.02,30.18,43.92,13.83,39.23
2025-06-14,36.08,28.23,27.29,30.64,35.86,31.79,46.54,14.0,36.66
2025-06-15,38.75,28.2,27.64,31.91,36.58,33.89,48.23,11.7,37.82
2025-06-16,36.1,29.61,26.6,29.74,34.74,34.88,45.92,10.59,37.84
2025-06-17,35.71,32.11,25.9,32.1,34.84,32.68,47.14,12.12,35.07
2025-06-18,33.7,33.51,28.35,33.69,33.95,33.48,49.29,12.37,35.79
2025-06-19,34.87,35.02,29.93,36.47,36.7,30.55,47.25,11.48,35.33
2025-06-20,33.29,32.84,32.16,36.39,37.89,27.69,45.89,12.94,38.18
2025-06-21,31.25,32.94,31.71,36.71,39.57,26.8,47.69,13.09,35.98
2025-06-22,32.76,32.76,31.99,33.73,42.3,24.58,44.8,15.9,36.13
2025-06-23,31.46,33.31,31.26,31.2,41.5,24.65,43.76,16.06,35.95
2025-06-24,31.33,36.21,33.18,28.42,39.35,24.38,43.58,18.07,34.66
2025-06-25,32.35,37.23,34.75,26.67,38.6,25.61,41.28,17.92,35.46
2025-06-26,30.54,37.53,36.97,29.57,40.14,24.34,40.9,20.7,34.67
