date,Pune APMC,Lasalgaon,Nashik,Mumbai Market,Nagpur,Kolhapur,Pimpri-Chinchwad,Sambhajinagar,Solapur
2025-06-01,22.4,36.62,43.4,35.65,35.57,54.52,47.4,34.85,25.22
2025-06-02,25.37,39.58,45.6,38.42,38.13,55.45,49.83,33.65,25.0
2025-06-03,24.67,40.87,47.57,40.54,35.72,53.67,51.61,34.95,27.21
2025-06-04,26.75,42.79,50.52,39.84,36.46,55.38,52.44,34.22,29.62
2025-06-05,23.82,42.32,51.26,37.39,37.45,53.56,51.47,31.92,27.78
2025-06-06,23.25,43.63,51.91,39.07,39.76,53.04,54.09,33.79,26.14
2025-06-07,23.9,46.06,49.46,38.48,42.07,54.7,55.99,33.23,26.95
2025-06-08,21.84,46.87,51.48,39.32,40.2,53.39,58.0,35.74,27.94
2025-06-09,22.11,44.08,49.94,37.74,41.23,50.58,58.09,34.41,27.67
2025-06-10,23.31,45.71,47.31,39.61,38.96,52.64,60.42,33.59,30.08
2025-06-11,22.77,46.74,45.9,41.64,37.39,49.76,60.67,36.32,28.97
2025-06-12,21.57,44.77,45.0,41.53,35.46,50.57,62.05,33.54,30.82
2025-06-13,19.13,42.61,43.98,39.19,36.31,48.02,62.51,31.75,29.44
2025-06-14,17.04,41.29,42.59,41.89,34.28,50.35,62.63,30.47,26.85
2025-06-15,15.72,39.0,41.39,43.36,36.42,53.34,61.22,31.53,26.29
2025-06-16,16.0,36.43,42.06,45.43,39.33,53.02,58.33,31.03,24.93
2025-06-17,17.73,36.95,43.91,47.13,37.2,55.67,60.72,33.52,26.91
2025-06-18,16.06,37.27,45.59,45.87,40.16,58.22,63.51,36.06,29.21
2025-06-19,15.22,34.81,48.09,46.73,39.62,60.74,64.73,38.79,26.75
2025-06-20,16.23,36.89,48.65,45.13,37.39,59.53,67.46,41.59,26.4
2025-06-21,14.75,34.28,50.45,47.0,34.86,61.67,65.37,41.86,27.97
2025-06-22,16.57,36.45,48.13,48.22,37.4,64.03,64.58,43.78,29.59
2025-06-23,17.18,39.36,47.14,45.54,40.07,64.62,66.44,46.56,27.66
2025-06-24,17.65,40.77,44.75,45.81,40.17,62.6,69.23,44.41,28.56
2025-06-25,17.59,40.94,47.38,48.43,40.62,61.97,71.18,44.23,27.02
2025-06-26,19.05,40.72,47.58,47.89,39.23,60.24,68.73,43.67,24.99
